time,FR,ES,PT,GB,IT
2000-08-16,0.112639,0.208589,0.314921,0.240756,0.106275
2000-08-17,0.156513,0.186646,0.307817,0.210409,0.052060
2000-08-18,0.094493,0.205939,0.209635,0.099147,0.047808
2000-08-19,0.113271,0.264346,0.228595,0.151252,0.049952
2000-08-20,0.098913,0.316606,0.207113,0.038354,0.040829
2000-08-21,0.077401,0.269137,0.225167,0.078462,0.061487
2000-08-22,0.152305,0.349551,0.413799,0.096647,0.058861
2000-08-23,0.221841,0.283967,0.297958,0.157865,0.081022
2000-08-24,0.152625,0.278243,0.248462,0.134886,0.155643
2000-08-25,0.315251,0.266605,0.219408,0.238969,0.194832
2000-08-26,0.201660,0.254735,0.239491,0.259329,0.086786
2000-08-27,0.191508,0.194044,0.276204,0.124665,0.125100
2000-08-28,0.098219,0.180472,0.206906,0.062971,0.211765
2000-08-29,0.081896,0.245808,0.239861,0.038598,0.114100
2000-08-30,0.185249,0.241251,0.297383,0.087249,0.077886
2000-08-31,0.125768,0.125575,0.265035,0.348700,0.353508
2000-09-01,0.408985,0.142960,0.273186,0.200043,0.262101
2000-09-02,0.434759,0.179114,0.361652,0.300650,0.168795
2000-09-03,0.196841,0.182144,0.414022,0.165136,0.278070
2000-09-04,0.136108,0.229586,0.338180,0.152057,0.229008
2000-09-05,0.090369,0.159425,0.189622,0.210338,0.318238
2000-09-06,0.334228,0.134519,0.192572,0.549105,0.177214
2000-09-07,0.162682,0.204815,0.157230,0.546360,0.201026
2000-09-08,0.098079,0.201115,0.171596,0.428762,0.419049
2000-09-09,0.094235,0.187879,0.126403,0.196505,0.338205
2000-09-10,0.108777,0.159355,0.117974,0.101214,0.179204
2000-09-11,0.118107,0.080822,0.155389,0.234633,0.111873
2000-09-12,0.112136,0.056468,0.139939,0.217442,0.065275
2000-09-13,0.058417,0.118539,0.109837,0.115922,0.045432
2000-09-14,0.047912,0.178275,0.093253,0.154456,0.059399
2000-09-15,0.276082,0.145775,0.175521,0.178008,0.043455
2000-09-16,0.424423,0.149458,0.089919,0.331847,0.115573
2000-09-17,0.097844,0.145343,0.082638,0.251718,0.293378
2000-09-18,0.219407,0.197367,0.248413,0.304224,0.330147
2000-09-19,0.314554,0.495844,0.560118,0.236110,0.313940
2000-09-20,0.156783,0.404058,0.209413,0.387835,0.453771
2000-09-21,0.227256,0.163419,0.098533,0.439415,0.376828
2000-09-22,0.155722,0.127642,0.119036,0.347914,0.210510
2000-09-23,0.277056,0.225038,0.208317,0.472017,0.142528
2000-09-24,0.190546,0.088665,0.158129,0.342514,0.084570
2000-09-25,0.105640,0.158245,0.195259,0.210962,0.057116
2000-09-26,0.187534,0.117248,0.164903,0.417251,0.129858
2000-09-27,0.251179,0.132530,0.165403,0.568930,0.043280
2000-09-28,0.426078,0.398828,0.421949,0.346315,0.059293
2000-09-29,0.190039,0.389692,0.534897,0.278418,0.253891
2000-09-30,0.094174,0.332496,0.414041,0.087418,0.362428
2000-10-01,0.161156,0.398134,0.292360,0.277582,0.362810
2000-10-02,0.428520,0.394170,0.188394,0.363390,0.230139
2000-10-03,0.164358,0.178394,0.125343,0.643469,0.172004
2000-10-04,0.072864,0.140930,0.186690,0.464906,0.109082
2000-10-05,0.207252,0.218334,0.304452,0.326440,0.117353
2000-10-06,0.176980,0.326704,0.438516,0.221480,0.117710
2000-10-07,0.149563,0.208299,0.255358,0.269172,0.258123
2000-10-08,0.273267,0.163838,0.196337,0.273597,0.305164
2000-10-09,0.391603,0.238818,0.393636,0.448550,0.227315
2000-10-10,0.715759,0.542250,0.553038,0.490673,0.258775
2000-10-11,0.661331,0.711958,0.776709,0.372491,0.343407
2000-10-12,0.411354,0.367635,0.439223,0.280199,0.243171
2000-10-13,0.119664,0.387964,0.375857,0.183302,0.307721
2000-10-14,0.093913,0.302227,0.128235,0.253325,0.307755
